cost,LogRooms,LogIncome,LogPeople,elheat,onlysecondary,waterheat,cookel,poolfilt,airrev,aircond,microwave,dish,dryer
361.0,1.9459101490553132,9.367344120785848,1.3862943611198906,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
438.0,1.9459101490553132,8.268731832117737,1.3862943611198906,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0
151.0,1.3862943611198906,10.003332887505843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
798.0,2.302585092994046,10.114558522616068,1.3862943611198906,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0
399.0,2.0794415416798357,10.114558522616068,1.0986122886681096,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
358.0,2.1972245773362196,10.696480068065789,1.3862943611198906,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
150.0,1.791759469228055,8.268731832117737,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
304.0,1.9459101490553132,9.041921720351219,0.6931471805599453,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
390.0,1.9459101490553132,10.003332887505843,1.6094379124341003,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
747.0,1.791759469228055,9.735068900911164,1.6094379124341003,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0
424.0,2.302585092994046,11.002099841204238,1.0986122886681096,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
364.0,1.791759469228055,9.367344120785848,1.0986122886681096,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
217.0,1.791759469228055,9.041921720351219,0.6931471805599453,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0
273.0,1.6094379124341003,10.305613759378778,0.6931471805599453,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
460.0,1.791759469228055,11.002099841204238,1.0986122886681096,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0
251.0,1.791759469228055,8.779557455883728,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0
